UNIQUE_ID,NAICS_CODE,FIRM_SIZE_ALPHA,DESCRIPTION,Firms,Employment,Payroll
110000a,11,a,"Agriculture, Forestry, Fishing and Hunting",21407.0,154496.0,5826857.0
110000b,11,b,"Agriculture, Forestry, Fishing and Hunting",14869.0,21927.0,878847.0
110000c,11,c,"Agriculture, Forestry, Fishing and Hunting",3472.0,22684.0,799741.0
110000d,11,d,"Agriculture, Forestry, Fishing and Hunting",1656.0,21596.0,822618.0
110000e,11,e,"Agriculture, Forestry, Fishing and Hunting",19997.0,66207.0,2501206.0
110000f,11,f,"Agriculture, Forestry, Fishing and Hunting",1119.0,39766.0,1534433.0
110000g,11,g,"Agriculture, Forestry, Fishing and Hunting",207.0,26839.0,871263.0
110000h,11,h,"Agriculture, Forestry, Fishing and Hunting",21323.0,132812.0,4906902.0
110000i,11,i,"Agriculture, Forestry, Fishing and Hunting",84.0,21684.0,919955.0
113000a,113,a,Forestry and Logging,8571.0,54863.0,2260451.0
113000b,113,b,Forestry and Logging,5179.0,8969.0,316809.0
113000c,113,c,Forestry and Logging,1899.0,12488.0,431125.0
113000d,113,d,Forestry and Logging,943.0,12260.0,467114.0
113000e,113,e,Forestry and Logging,8021.0,33717.0,1215048.0
113000f,113,f,Forestry and Logging,493.0,15369.0,650693.0
113000g,113,g,Forestry and Logging,28.0,1884.0,80188.0
113000h,113,h,Forestry and Logging,8542.0,50970.0,1945929.0
113000i,113,i,Forestry and Logging,29.0,3893.0,314522.0
113100a,1131,a,Timber Tract Operations,402.0,3092.0,186111.0
113100b,1131,b,Timber Tract Operations,275.0,0.0,20171.0
113100c,1131,c,Timber Tract Operations,65.0,409.0,17545.0
113100d,1131,d,Timber Tract Operations,28.0,375.0,14400.0
113100e,1131,e,Timber Tract Operations,368.0,1265.0,52116.0
113100f,1131,f,Timber Tract Operations,18.0,587.0,25188.0
113100g,1131,g,Timber Tract Operations,2.0,0.0,0.0
113100h,1131,h,Timber Tract Operations,388.0,1876.0,79532.0
113100i,1131,i,Timber Tract Operations,14.0,1216.0,106579.0
113110a,11311,a,Timber Tract Operations,402.0,3092.0,186111.0
113110b,11311,b,Timber Tract Operations,275.0,0.0,20171.0
113110c,11311,c,Timber Tract Operations,65.0,409.0,17545.0
113110d,11311,d,Timber Tract Operations,28.0,375.0,14400.0
113110e,11311,e,Timber Tract Operations,368.0,1265.0,52116.0
113110f,11311,f,Timber Tract Operations,18.0,587.0,25188.0
113110g,11311,g,Timber Tract Operations,2.0,0.0,0.0
113110h,11311,h,Timber Tract Operations,388.0,1876.0,79532.0
113110i,11311,i,Timber Tract Operations,14.0,1216.0,106579.0
113200a,1132,a,Forest Nurseries and Gathering of Forest Products,158.0,1658.0,54812.0
113200b,1132,b,Forest Nurseries and Gathering of Forest Products,101.0,115.0,6453.0
113200c,1132,c,Forest Nurseries and Gathering of Forest Products,26.0,161.0,5099.0
113200d,1132,d,Forest Nurseries and Gathering of Forest Products,12.0,169.0,5812.0
113200e,1132,e,Forest Nurseries and Gathering of Forest Products,139.0,445.0,17364.0
113200f,1132,f,Forest Nurseries and Gathering of Forest Products,12.0,493.0,12065.0
113200g,1132,g,Forest Nurseries and Gathering of Forest Products,4.0,500.0,7613.0
113200h,1132,h,Forest Nurseries and Gathering of Forest Products,155.0,1438.0,37042.0
113200i,1132,i,Forest Nurseries and Gathering of Forest Products,3.0,0.0,0.0
113210a,11321,a,Forest Nurseries and Gathering of Forest Products,158.0,1658.0,54812.0
113210b,11321,b,Forest Nurseries and Gathering of Forest Products,101.0,115.0,6453.0
113210c,11321,c,Forest Nurseries and Gathering of Forest Products,26.0,161.0,5099.0
113210d,11321,d,Forest Nurseries and Gathering of Forest Products,12.0,169.0,5812.0
113210e,11321,e,Forest Nurseries and Gathering of Forest Products,139.0,445.0,17364.0
113210f,11321,f,Forest Nurseries and Gathering of Forest Products,12.0,493.0,12065.0
113210g,11321,g,Forest Nurseries and Gathering of Forest Products,4.0,500.0,7613.0
113210h,11321,h,Forest Nurseries and Gathering of Forest Products,155.0,1438.0,37042.0
113210i,11321,i,Forest Nurseries and Gathering of Forest Products,3.0,0.0,0.0
113300a,1133,a,Logging,8017.0,50113.0,2019528.0
113300b,1133,b,Logging,4803.0,8373.0,290185.0
113300c,1133,c,Logging,1808.0,11918.0,408481.0
113300d,1133,d,Logging,903.0,11716.0,446902.0
113300e,1133,e,Logging,7514.0,32007.0,1145568.0
113300f,1133,f,Logging,463.0,14289.0,613440.0
113300g,1133,g,Logging,22.0,1360.0,70347.0
113300h,1133,h,Logging,7999.0,47656.0,1829355.0
113300i,1133,i,Logging,18.0,2457.0,190173.0
113310a,11331,a,Logging,8017.0,50113.0,2019528.0
113310b,11331,b,Logging,4803.0,8373.0,290185.0
113310c,11331,c,Logging,1808.0,11918.0,408481.0
113310d,11331,d,Logging,903.0,11716.0,446902.0
113310e,11331,e,Logging,7514.0,32007.0,1145568.0
113310f,11331,f,Logging,463.0,14289.0,613440.0
113310g,11331,g,Logging,22.0,1360.0,70347.0
113310h,11331,h,Logging,7999.0,47656.0,1829355.0
113310i,11331,i,Logging,18.0,2457.0,190173.0
114000a,114,a,"Fishing, Hunting and Trapping",2564.0,7464.0,356591.0
114000b,114,b,"Fishing, Hunting and Trapping",2314.0,0.0,118931.0
114000c,114,c,"Fishing, Hunting and Trapping",146.0,945.0,37233.0
114000d,114,d,"Fishing, Hunting and Trapping",49.0,655.0,26753.0
114000e,114,e,"Fishing, Hunting and Trapping",2509.0,3564.0,182917.0
114000f,114,f,"Fishing, Hunting and Trapping",40.0,1285.0,50948.0
114000g,114,g,"Fishing, Hunting and Trapping",13.0,2202.0,98812.0
114000h,114,h,"Fishing, Hunting and Trapping",2562.0,7051.0,332677.0
114000i,114,i,"Fishing, Hunting and Trapping",2.0,0.0,0.0
114100a,1141,a,Fishing,2248.0,5990.0,313389.0
114100b,1141,b,Fishing,2088.0,0.0,109416.0
114100c,1141,c,Fishing,90.0,582.0,26157.0
114100d,1141,d,Fishing,29.0,379.0,19381.0
114100e,1141,e,Fishing,2207.0,2611.0,154954.0
114100f,1141,f,Fishing,29.0,971.0,41649.0
114100g,1141,g,Fishing,11.0,2004.0,93135.0
114100h,1141,h,Fishing,2247.0,5586.0,289738.0
114100i,1141,i,Fishing,1.0,0.0,0.0
114110a,11411,a,Fishing,2248.0,5990.0,313389.0
114110b,11411,b,Fishing,2088.0,0.0,109416.0
114110c,11411,c,Fishing,90.0,582.0,26157.0
114110d,11411,d,Fishing,29.0,379.0,19381.0
114110e,11411,e,Fishing,2207.0,2611.0,154954.0
114110f,11411,f,Fishing,29.0,971.0,41649.0
114110g,11411,g,Fishing,11.0,2004.0,93135.0
114110h,11411,h,Fishing,2247.0,5586.0,289738.0
114110i,11411,i,Fishing,1.0,0.0,0.0
114111a,114111,a,Finfish Fishing,1278.0,3669.0,221883.0
114111b,114111,b,Finfish Fishing,1178.0,0.0,70659.0
114111c,114111,c,Finfish Fishing,56.0,355.0,19235.0
114111d,114111,d,Finfish Fishing,22.0,286.0,15574.0
114111e,114111,e,Finfish Fishing,1256.0,1590.0,105468.0
114111f,114111,f,Finfish Fishing,14.0,489.0,24893.0
114111g,114111,g,Finfish Fishing,7.0,1186.0,67871.0
114111h,114111,h,Finfish Fishing,1277.0,3265.0,198232.0
114111i,114111,i,Finfish Fishing,1.0,0.0,0.0
114112a,114112,a,Shellfish Fishing,924.0,2200.0,87287.0
114112b,114112,b,Shellfish Fishing,869.0,0.0,37651.0
114112c,114112,c,Shellfish Fishing,31.0,208.0,6496.0
114112d,114112,d,Shellfish Fishing,7.0,0.0,3807.0
114112e,114112,e,Shellfish Fishing,907.0,0.0,47954.0
114112f,114112,f,Shellfish Fishing,13.0,416.0,14069.0
114112g,114112,g,Shellfish Fishing,4.0,818.0,25264.0
114112h,114112,h,Shellfish Fishing,924.0,2200.0,87287.0
114119a,114119,a,Other Marine Fishing,46.0,0.0,0.0
114119b,114119,b,Other Marine Fishing,41.0,0.0,1106.0
114119c,114119,c,Other Marine Fishing,3.0,0.0,426.0
114119e,114119,e,Other Marine Fishing,44.0,0.0,1532.0
114119f,114119,f,Other Marine Fishing,2.0,0.0,0.0
114119h,114119,h,Other Marine Fishing,46.0,0.0,0.0
114200a,1142,a,Hunting and Trapping,316.0,1474.0,43202.0
114200b,1142,b,Hunting and Trapping,226.0,314.0,9515.0
114200c,1142,c,Hunting and Trapping,56.0,363.0,11076.0
114200d,1142,d,Hunting and Trapping,20.0,276.0,7372.0
114200e,1142,e,Hunting and Trapping,302.0,953.0,27963.0
114200f,1142,f,Hunting and Trapping,11.0,0.0,9299.0
114200g,1142,g,Hunting and Trapping,2.0,0.0,0.0
114200h,1142,h,Hunting and Trapping,315.0,1465.0,42939.0
114200i,1142,i,Hunting and Trapping,1.0,0.0,0.0
114210a,11421,a,Hunting and Trapping,316.0,1474.0,43202.0
114210b,11421,b,Hunting and Trapping,226.0,314.0,9515.0
114210c,11421,c,Hunting and Trapping,56.0,363.0,11076.0
114210d,11421,d,Hunting and Trapping,20.0,276.0,7372.0
114210e,11421,e,Hunting and Trapping,302.0,953.0,27963.0
114210f,11421,f,Hunting and Trapping,11.0,0.0,9299.0
114210g,11421,g,Hunting and Trapping,2.0,0.0,0.0
114210h,11421,h,Hunting and Trapping,315.0,1465.0,42939.0
114210i,11421,i,Hunting and Trapping,1.0,0.0,0.0
115000a,115,a,Support Activities for Agriculture and Forestry,10276.0,92169.0,3209815.0
115000b,115,b,Support Activities for Agriculture and Forestry,7376.0,10994.0,443107.0
115000c,115,c,Support Activities for Agriculture and Forestry,1427.0,9251.0,331383.0
115000d,115,d,Support Activities for Agriculture and Forestry,664.0,8681.0,328751.0
115000e,115,e,Support Activities for Agriculture and Forestry,9467.0,28926.0,1103241.0
115000f,115,f,Support Activities for Agriculture and Forestry,588.0,23112.0,832792.0
115000g,115,g,Support Activities for Agriculture and Forestry,167.0,22753.0,692263.0
115000h,115,h,Support Activities for Agriculture and Forestry,10222.0,74791.0,2628296.0
115000i,115,i,Support Activities for Agriculture and Forestry,54.0,17378.0,581519.0
115100a,1151,a,Support Activities for Crop Production,4480.0,62876.0,2227603.0
115100b,1151,b,Support Activities for Crop Production,2871.0,4166.0,233674.0
115100c,1151,c,Support Activities for Crop Production,691.0,4547.0,205967.0
115100d,1151,d,Support Activities for Crop Production,365.0,4876.0,198752.0
115100e,1151,e,Support Activities for Crop Production,3927.0,13589.0,638393.0
115100f,1151,f,Support Activities for Crop Production,384.0,15567.0,574003.0
115100g,1151,g,Support Activities for Crop Production,132.0,17834.0,513120.0
115100h,1151,h,Support Activities for Crop Production,4443.0,46990.0,1725516.0
115100i,1151,i,Support Activities for Crop Production,37.0,15886.0,502087.0
115110a,11511,a,Support Activities for Crop Production,4480.0,62876.0,2227603.0
115110b,11511,b,Support Activities for Crop Production,2871.0,4166.0,233674.0
115110c,11511,c,Support Activities for Crop Production,691.0,4547.0,205967.0
115110d,11511,d,Support Activities for Crop Production,365.0,4876.0,198752.0
115110e,11511,e,Support Activities for Crop Production,3927.0,13589.0,638393.0
115110f,11511,f,Support Activities for Crop Production,384.0,15567.0,574003.0
115110g,11511,g,Support Activities for Crop Production,132.0,17834.0,513120.0
115110h,11511,h,Support Activities for Crop Production,4443.0,46990.0,1725516.0
115110i,11511,i,Support Activities for Crop Production,37.0,15886.0,502087.0
115111a,115111,a,Cotton Ginning,224.0,2400.0,100149.0
115111b,115111,b,Cotton Ginning,79.0,178.0,9902.0
115111c,115111,c,Cotton Ginning,64.0,426.0,22798.0
115111d,115111,d,Cotton Ginning,40.0,540.0,22352.0
115111e,115111,e,Cotton Ginning,183.0,1144.0,55052.0
115111f,115111,f,Cotton Ginning,32.0,957.0,35940.0
115111g,115111,g,Cotton Ginning,6.0,247.0,7415.0
115111h,115111,h,Cotton Ginning,221.0,2348.0,98407.0
115111i,115111,i,Cotton Ginning,3.0,52.0,1742.0
115112a,115112,a,"Soil Preparation, Planting, and Cultivating",2128.0,10464.0,471901.0
