UNIQUE_ID,NAICS_CODE,FIRM_SIZE_ALPHA,DESCRIPTION,Firms,Employment,Payroll
110000a,11,a,"Agriculture, Forestry, Fishing and Hunting",21676.0,160144.0,6530968.0
110000b,11,b,"Agriculture, Forestry, Fishing and Hunting",15048.0,21893.0,952211.0
110000c,11,c,"Agriculture, Forestry, Fishing and Hunting",3473.0,22700.0,844567.0
110000d,11,d,"Agriculture, Forestry, Fishing and Hunting",1691.0,22280.0,893412.0
110000e,11,e,"Agriculture, Forestry, Fishing and Hunting",20212.0,66873.0,2690190.0
110000f,11,f,"Agriculture, Forestry, Fishing and Hunting",1171.0,42022.0,1747806.0
110000g,11,g,"Agriculture, Forestry, Fishing and Hunting",201.0,27359.0,997601.0
110000h,11,h,"Agriculture, Forestry, Fishing and Hunting",21584.0,136254.0,5435597.0
110000i,11,i,"Agriculture, Forestry, Fishing and Hunting",92.0,23890.0,1095371.0
113000a,113,a,Forestry and Logging,8602.0,56169.0,2537206.0
113000b,113,b,Forestry and Logging,5193.0,9041.0,344719.0
113000c,113,c,Forestry and Logging,1915.0,12607.0,466543.0
113000d,113,d,Forestry and Logging,943.0,12460.0,506584.0
113000e,113,e,Forestry and Logging,8051.0,34108.0,1317846.0
113000f,113,f,Forestry and Logging,497.0,15717.0,721613.0
113000g,113,g,Forestry and Logging,24.0,1729.0,90103.0
113000h,113,h,Forestry and Logging,8572.0,51554.0,2129562.0
113000i,113,i,Forestry and Logging,30.0,4615.0,407644.0
113100a,1131,a,Timber Tract Operations,429.0,3666.0,233839.0
113100b,1131,b,Timber Tract Operations,302.0,495.0,20291.0
113100c,1131,c,Timber Tract Operations,65.0,399.0,19135.0
113100d,1131,d,Timber Tract Operations,23.0,311.0,14727.0
113100e,1131,e,Timber Tract Operations,390.0,1205.0,54153.0
113100f,1131,f,Timber Tract Operations,23.0,754.0,35344.0
113100g,1131,g,Timber Tract Operations,2.0,0.0,0.0
113100h,1131,h,Timber Tract Operations,415.0,2040.0,97844.0
113100i,1131,i,Timber Tract Operations,14.0,1626.0,135995.0
113110a,11311,a,Timber Tract Operations,429.0,3666.0,233839.0
113110b,11311,b,Timber Tract Operations,302.0,495.0,20291.0
113110c,11311,c,Timber Tract Operations,65.0,399.0,19135.0
113110d,11311,d,Timber Tract Operations,23.0,311.0,14727.0
113110e,11311,e,Timber Tract Operations,390.0,1205.0,54153.0
113110f,11311,f,Timber Tract Operations,23.0,754.0,35344.0
113110g,11311,g,Timber Tract Operations,2.0,0.0,0.0
113110h,11311,h,Timber Tract Operations,415.0,2040.0,97844.0
113110i,11311,i,Timber Tract Operations,14.0,1626.0,135995.0
113200a,1132,a,Forest Nurseries and Gathering of Forest Products,167.0,1395.0,59366.0
113200b,1132,b,Forest Nurseries and Gathering of Forest Products,114.0,158.0,7420.0
113200c,1132,c,Forest Nurseries and Gathering of Forest Products,26.0,174.0,5628.0
113200d,1132,d,Forest Nurseries and Gathering of Forest Products,13.0,178.0,5582.0
113200e,1132,e,Forest Nurseries and Gathering of Forest Products,153.0,510.0,18630.0
113200f,1132,f,Forest Nurseries and Gathering of Forest Products,8.0,376.0,10604.0
113200g,1132,g,Forest Nurseries and Gathering of Forest Products,3.0,0.0,0.0
113200h,1132,h,Forest Nurseries and Gathering of Forest Products,164.0,1181.0,33872.0
113200i,1132,i,Forest Nurseries and Gathering of Forest Products,3.0,214.0,25494.0
113210a,11321,a,Forest Nurseries and Gathering of Forest Products,167.0,1395.0,59366.0
113210b,11321,b,Forest Nurseries and Gathering of Forest Products,114.0,158.0,7420.0
113210c,11321,c,Forest Nurseries and Gathering of Forest Products,26.0,174.0,5628.0
113210d,11321,d,Forest Nurseries and Gathering of Forest Products,13.0,178.0,5582.0
113210e,11321,e,Forest Nurseries and Gathering of Forest Products,153.0,510.0,18630.0
113210f,11321,f,Forest Nurseries and Gathering of Forest Products,8.0,376.0,10604.0
113210g,11321,g,Forest Nurseries and Gathering of Forest Products,3.0,0.0,0.0
113210h,11321,h,Forest Nurseries and Gathering of Forest Products,164.0,1181.0,33872.0
113210i,11321,i,Forest Nurseries and Gathering of Forest Products,3.0,214.0,25494.0
113300a,1133,a,Logging,8011.0,51108.0,2244001.0
113300b,1133,b,Logging,4777.0,8388.0,317008.0
113300c,1133,c,Logging,1824.0,12034.0,441780.0
113300d,1133,d,Logging,907.0,11971.0,486275.0
113300e,1133,e,Logging,7508.0,32393.0,1245063.0
113300f,1133,f,Logging,466.0,14587.0,675665.0
113300g,1133,g,Logging,20.0,1353.0,77118.0
113300h,1133,h,Logging,7994.0,48333.0,1997846.0
113300i,1133,i,Logging,17.0,2775.0,246155.0
113310a,11331,a,Logging,8011.0,51108.0,2244001.0
113310b,11331,b,Logging,4777.0,8388.0,317008.0
113310c,11331,c,Logging,1824.0,12034.0,441780.0
113310d,11331,d,Logging,907.0,11971.0,486275.0
113310e,11331,e,Logging,7508.0,32393.0,1245063.0
113310f,11331,f,Logging,466.0,14587.0,675665.0
113310g,11331,g,Logging,20.0,1353.0,77118.0
113310h,11331,h,Logging,7994.0,48333.0,1997846.0
113310i,11331,i,Logging,17.0,2775.0,246155.0
114000a,114,a,"Fishing, Hunting and Trapping",2673.0,7509.0,403804.0
114000b,114,b,"Fishing, Hunting and Trapping",2429.0,2026.0,130498.0
114000c,114,c,"Fishing, Hunting and Trapping",138.0,893.0,36188.0
114000d,114,d,"Fishing, Hunting and Trapping",48.0,638.0,27799.0
114000e,114,e,"Fishing, Hunting and Trapping",2615.0,3557.0,194485.0
114000f,114,f,"Fishing, Hunting and Trapping",42.0,1415.0,67549.0
114000g,114,g,"Fishing, Hunting and Trapping",13.0,2059.0,114678.0
114000h,114,h,"Fishing, Hunting and Trapping",2670.0,7031.0,376712.0
114000i,114,i,"Fishing, Hunting and Trapping",3.0,0.0,0.0
114100a,1141,a,Fishing,2331.0,5905.0,351161.0
114100b,1141,b,Fishing,2178.0,1670.0,118966.0
114100c,1141,c,Fishing,84.0,533.0,24589.0
114100d,1141,d,Fishing,27.0,353.0,19049.0
114100e,1141,e,Fishing,2289.0,2556.0,162604.0
114100f,1141,f,Fishing,29.0,1037.0,53764.0
114100g,1141,g,Fishing,11.0,1846.0,108099.0
114100h,1141,h,Fishing,2329.0,5439.0,324467.0
114100i,1141,i,Fishing,2.0,0.0,0.0
114110a,11411,a,Fishing,2331.0,5905.0,351161.0
114110b,11411,b,Fishing,2178.0,1670.0,118966.0
114110c,11411,c,Fishing,84.0,533.0,24589.0
114110d,11411,d,Fishing,27.0,353.0,19049.0
114110e,11411,e,Fishing,2289.0,2556.0,162604.0
114110f,11411,f,Fishing,29.0,1037.0,53764.0
114110g,11411,g,Fishing,11.0,1846.0,108099.0
