UNIQUE_ID,NAICS_CODE,FIRM_SIZE_ALPHA,DESCRIPTION,Firms,Employment,Payroll
110000a,11,a,"Agriculture, Forestry, Fishing and Hunting",21830.0,160411.0,6598512.0
110000b,11,b,"Agriculture, Forestry, Fishing and Hunting",15192.0,22402.0,990763.0
110000c,11,c,"Agriculture, Forestry, Fishing and Hunting",3514.0,22973.0,883763.0
110000d,11,d,"Agriculture, Forestry, Fishing and Hunting",1688.0,22010.0,921920.0
110000e,11,e,"Agriculture, Forestry, Fishing and Hunting",20394.0,67385.0,2796446.0
110000f,11,f,"Agriculture, Forestry, Fishing and Hunting",1132.0,40352.0,1754904.0
110000g,11,g,"Agriculture, Forestry, Fishing and Hunting",204.0,26841.0,989393.0
110000h,11,h,"Agriculture, Forestry, Fishing and Hunting",21730.0,134578.0,5540743.0
110000i,11,i,"Agriculture, Forestry, Fishing and Hunting",100.0,25833.0,1057769.0
113000a,113,a,Forestry and Logging,8564.0,55726.0,2455423.0
113000b,113,b,Forestry and Logging,5187.0,9246.0,369370.0
113000c,113,c,Forestry and Logging,1929.0,12713.0,486754.0
113000d,113,d,Forestry and Logging,918.0,11946.0,505746.0
113000e,113,e,Forestry and Logging,8034.0,33905.0,1361870.0
113000f,113,f,Forestry and Logging,478.0,15066.0,704628.0
113000g,113,g,Forestry and Logging,23.0,1770.0,85931.0
113000h,113,h,Forestry and Logging,8535.0,50741.0,2152429.0
113000i,113,i,Forestry and Logging,29.0,4985.0,302994.0
113100a,1131,a,Timber Tract Operations,436.0,4181.0,216893.0
113100b,1131,b,Timber Tract Operations,308.0,496.0,21594.0
113100c,1131,c,Timber Tract Operations,60.0,350.0,17775.0
113100d,1131,d,Timber Tract Operations,32.0,445.0,19267.0
113100e,1131,e,Timber Tract Operations,400.0,1291.0,58636.0
113100f,1131,f,Timber Tract Operations,18.0,541.0,27002.0
113100g,1131,g,Timber Tract Operations,3.0,228.0,11961.0
113100h,1131,h,Timber Tract Operations,421.0,2060.0,97599.0
113100i,1131,i,Timber Tract Operations,15.0,2121.0,119294.0
113110a,11311,a,Timber Tract Operations,436.0,4181.0,216893.0
113110b,11311,b,Timber Tract Operations,308.0,496.0,21594.0
113110c,11311,c,Timber Tract Operations,60.0,350.0,17775.0
113110d,11311,d,Timber Tract Operations,32.0,445.0,19267.0
113110e,11311,e,Timber Tract Operations,400.0,1291.0,58636.0
113110f,11311,f,Timber Tract Operations,18.0,541.0,27002.0
113110g,11311,g,Timber Tract Operations,3.0,228.0,11961.0
113110h,11311,h,Timber Tract Operations,421.0,2060.0,97599.0
113110i,11311,i,Timber Tract Operations,15.0,2121.0,119294.0
113200a,1132,a,Forest Nurseries and Gathering of Forest Products,167.0,1357.0,47568.0
113200b,1132,b,Forest Nurseries and Gathering of Forest Products,113.0,157.0,7427.0
113200c,1132,c,Forest Nurseries and Gathering of Forest Products,22.0,141.0,4331.0
113200d,1132,d,Forest Nurseries and Gathering of Forest Products,17.0,211.0,4946.0
113200e,1132,e,Forest Nurseries and Gathering of Forest Products,152.0,509.0,16704.0
113200f,1132,f,Forest Nurseries and Gathering of Forest Products,9.0,374.0,12363.0
113200g,1132,g,Forest Nurseries and Gathering of Forest Products,3.0,0.0,0.0
113200h,1132,h,Forest Nurseries and Gathering of Forest Products,164.0,1167.0,33160.0
