UNIQUE_ID,NAICS_CODE,FIRM_SIZE_ALPHA,DESCRIPTION,Firms,Employment,Payroll
110000a,11,a,"Agriculture, Forestry, Fishing and Hunting",22587,165688,8519646
110000b,11,b,"Agriculture, Forestry, Fishing and Hunting",15913,22946,1219417
110000c,11,c,"Agriculture, Forestry, Fishing and Hunting",3527,23164,1098166
110000d,11,d,"Agriculture, Forestry, Fishing and Hunting",1706,22322,1161830
110000e,11,e,"Agriculture, Forestry, Fishing and Hunting",21146,68432,3479413
110000f,11,f,"Agriculture, Forestry, Fishing and Hunting",1132,41016,2158597
110000g,11,g,"Agriculture, Forestry, Fishing and Hunting",208,27634,1381162
110000h,11,h,"Agriculture, Forestry, Fishing and Hunting",22486,137082,7019172
110000i,11,i,"Agriculture, Forestry, Fishing and Hunting",101,28606,1500474
113000a,113,a,Forestry and Logging,8135,49632,2641848
113000b,113,b,Forestry and Logging,5042,8812,401068
113000c,113,c,Forestry and Logging,1755,11588,537653
113000d,113,d,Forestry and Logging,876,11515,579241
113000e,113,e,Forestry and Logging,7673,31915,1517962
113000f,113,f,Forestry and Logging,415,13281,754560
113000g,113,g,Forestry and Logging,22,1442,97449
113000h,113,h,Forestry and Logging,8110,46638,2369971
113000i,113,i,Forestry and Logging,25,2994,271877
113100a,1131,a,Timber Tract Operations,462,3583,237211
113100b,1131,b,Timber Tract Operations,331,519,26176
113100c,1131,c,Timber Tract Operations,70,447,22666
113100d,1131,d,Timber Tract Operations,28,354,20520
113100e,1131,e,Timber Tract Operations,429,1320,69362
113100f,1131,f,Timber Tract Operations,18,522,28480
113100g,1131,g,Timber Tract Operations,3,187,4775
113100h,1131,h,Timber Tract Operations,450,2029,102617
113100i,1131,i,Timber Tract Operations,12,1554,134594
113110a,11311,a,Timber Tract Operations,462,3583,237211
113110b,11311,b,Timber Tract Operations,331,519,26176
113110c,11311,c,Timber Tract Operations,70,447,22666
113110d,11311,d,Timber Tract Operations,28,354,20520
113110e,11311,e,Timber Tract Operations,429,1320,69362
113110f,11311,f,Timber Tract Operations,18,522,28480
113110g,11311,g,Timber Tract Operations,3,187,4775
113110h,11311,h,Timber Tract Operations,450,2029,102617
113110i,11311,i,Timber Tract Operations,12,1554,134594
113200a,1132,a,Forest Nurseries and Gathering of Forest Products,180,920,48103
113200b,1132,b,Forest Nurseries and Gathering of Forest Products,139,203,10799
113200c,1132,c,Forest Nurseries and Gathering of Forest Products,22,143,5021
113200d,1132,d,Forest Nurseries and Gathering of Forest Products,10,120,6583
113200e,1132,e,Forest Nurseries and Gathering of Forest Products,171,466,22403
113200f,1132,f,Forest Nurseries and Gathering of Forest Products,4,182,7909
113200h,1132,h,Forest Nurseries and Gathering of Forest Products,177,765,33467
113200i,1132,i,Forest Nurseries and Gathering of Forest Products,3,155,14636
113210a,11321,a,Forest Nurseries and Gathering of Forest Products,180,920,48103
113210b,11321,b,Forest Nurseries and Gathering of Forest Products,139,203,10799
113210c,11321,c,Forest Nurseries and Gathering of Forest Products,22,143,5021
113210d,11321,d,Forest Nurseries and Gathering of Forest Products,10,120,6583
113210e,11321,e,Forest Nurseries and Gathering of Forest Products,171,466,22403
113210f,11321,f,Forest Nurseries and Gathering of Forest Products,4,182,7909
113210h,11321,h,Forest Nurseries and Gathering of Forest Products,177,765,33467
113210i,11321,i,Forest Nurseries and Gathering of Forest Products,3,155,14636
113300a,1133,a,Logging,7497,45129,2356534
113300b,1133,b,Logging,4572,8090,364093
113300c,1133,c,Logging,1663,10998,509966
113300d,1133,d,Logging,838,11041,552138
113300e,1133,e,Logging,7073,30129,1426197
113300f,1133,f,Logging,393,12577,718171
113300g,1133,g,Logging,17,1138,89519
113300h,1133,h,Logging,7483,43844,2233887
113300i,1133,i,Logging,14,1285,122647
113310a,11331,a,Logging,7497,45129,2356534
113310b,11331,b,Logging,4572,8090,364093
113310c,11331,c,Logging,1663,10998,509966
113310d,11331,d,Logging,838,11041,552138
113310e,11331,e,Logging,7073,30129,1426197
113310f,11331,f,Logging,393,12577,718171
113310g,11331,g,Logging,17,1138,89519
113310h,11331,h,Logging,7483,43844,2233887
113310i,11331,i,Logging,14,1285,122647
114000a,114,a,"Fishing, Hunting and Trapping",3015,6911,484180
114000b,114,b,"Fishing, Hunting and Trapping",2760,2345,169556
114000c,114,c,"Fishing, Hunting and Trapping",143,927,42822
114000d,114,d,"Fishing, Hunting and Trapping",55,734,35070
114000e,114,e,"Fishing, Hunting and Trapping",2958,4006,247448
114000f,114,f,"Fishing, Hunting and Trapping",41,1307,89795
114000g,114,g,"Fishing, Hunting and Trapping",13,1528,142158
114000h,114,h,"Fishing, Hunting and Trapping",3012,6841,479401
114000i,114,i,"Fishing, Hunting and Trapping",3,70,4779
114100a,1141,a,Fishing,2618,5060,407005
114100b,1141,b,Fishing,2464,1943,151245
114100c,1141,c,Fishing,81,520,28198
114100d,1141,d,Fishing,34,453,21598
114100e,1141,e,Fishing,2579,2916,201041
114100f,1141,f,Fishing,26,843,69561
114100g,1141,g,Fishing,11,1240,132313
114100h,1141,h,Fishing,2616,4999,402915
114110a,11411,a,Fishing,2618,5060,407005
114110b,11411,b,Fishing,2464,1943,151245
114110c,11411,c,Fishing,81,520,28198
114110d,11411,d,Fishing,34,453,21598
114110e,11411,e,Fishing,2579,2916,201041
114110f,11411,f,Fishing,26,843,69561
114110g,11411,g,Fishing,11,1240,132313
114110h,11411,h,Fishing,2616,4999,402915
114111a,114111,a,Finfish Fishing,1506,3105,274188
114111b,114111,b,Finfish Fishing,1409,1056,93107
114111c,114111,c,Finfish Fishing,52,324,19433
114111d,114111,d,Finfish Fishing,21,281,12911
114111e,114111,e,Finfish Fishing,1482,1661,125451
114111f,114111,f,Finfish Fishing,13,379,31722
114111g,114111,g,Finfish Fishing,9,1004,112925
114111h,114111,h,Finfish Fishing,1504,3044,270098
114112a,114112,a,Shellfish Fishing,1007,1698,107914
114112b,114112,b,Shellfish Fishing,958,784,52793
114112c,114112,c,Shellfish Fishing,24,160,6960
114112d,114112,d,Shellfish Fishing,12,163,8317
114112e,114112,e,Shellfish Fishing,994,1107,68070
114112f,114112,f,Shellfish Fishing,11,355,20456
114112h,114112,h,Shellfish Fishing,1007,1698,107914
114119a,114119,a,Other Marine Fishing,105,257,24903
114119b,114119,b,Other Marine Fishing,97,103,5345
114119c,114119,c,Other Marine Fishing,5,36,1805
114119e,114119,e,Other Marine Fishing,103,148,7520
114119h,114119,h,Other Marine Fishing,105,257,24903
114200a,1142,a,Hunting and Trapping,397,1851,77175
