UNIQUE_ID,NAICS_CODE,FIRM_SIZE_ALPHA,DESCRIPTION,Firms,Employment,Payroll
110000a,11,a,"Agriculture, Forestry, Fishing and Hunting",22059,167204,8003079
110000b,11,b,"Agriculture, Forestry, Fishing and Hunting",15510,22448,1124249
110000c,11,c,"Agriculture, Forestry, Fishing and Hunting",3383,22098,989563
110000d,11,d,"Agriculture, Forestry, Fishing and Hunting",1680,21895,1057270
110000e,11,e,"Agriculture, Forestry, Fishing and Hunting",20573,66441,3171082
110000f,11,f,"Agriculture, Forestry, Fishing and Hunting",1175,42662,2113616
110000g,11,g,"Agriculture, Forestry, Fishing and Hunting",210,28408,1282737
110000h,11,h,"Agriculture, Forestry, Fishing and Hunting",21958,137511,6567435
110000i,11,i,"Agriculture, Forestry, Fishing and Hunting",101,29693,1435644
113000a,113,a,Forestry and Logging,8098,50710,2611373
113000b,113,b,Forestry and Logging,5007,8814,375598
113000c,113,c,Forestry and Logging,1734,11386,507591
113000d,113,d,Forestry and Logging,879,11409,556214
113000e,113,e,Forestry and Logging,7620,31609,1439403
113000f,113,f,Forestry and Logging,429,13738,750324
113000g,113,g,Forestry and Logging,23,1311,82411
113000h,113,h,Forestry and Logging,8072,46658,2272138
113000i,113,i,Forestry and Logging,26,4052,339235
113100a,1131,a,Timber Tract Operations,442,3643,229978
113100b,1131,b,Timber Tract Operations,311,493,22221
113100c,1131,c,Timber Tract Operations,67,417,20909
113100d,1131,d,Timber Tract Operations,31,390,21413
113100e,1131,e,Timber Tract Operations,409,1300,64543
113100f,1131,f,Timber Tract Operations,18,562,26191
113100g,1131,g,Timber Tract Operations,3,32,1965
113100h,1131,h,Timber Tract Operations,430,1894,92699
113100i,1131,i,Timber Tract Operations,12,1749,137279
113110a,11311,a,Timber Tract Operations,442,3643,229978
113110b,11311,b,Timber Tract Operations,311,493,22221
113110c,11311,c,Timber Tract Operations,67,417,20909
113110d,11311,d,Timber Tract Operations,31,390,21413
113110e,11311,e,Timber Tract Operations,409,1300,64543
113110f,11311,f,Timber Tract Operations,18,562,26191
113110g,11311,g,Timber Tract Operations,3,32,1965
113110h,11311,h,Timber Tract Operations,430,1894,92699
113110i,11311,i,Timber Tract Operations,12,1749,137279
113200a,1132,a,Forest Nurseries and Gathering of Forest Products,173,964,41810
113200b,1132,b,Forest Nurseries and Gathering of Forest Products,135,183,7745
113200c,1132,c,Forest Nurseries and Gathering of Forest Products,20,138,4271
113200d,1132,d,Forest Nurseries and Gathering of Forest Products,8,102,4373
113200e,1132,e,Forest Nurseries and Gathering of Forest Products,163,423,16389
113200f,1132,f,Forest Nurseries and Gathering of Forest Products,5,278,9559
113200h,1132,h,Forest Nurseries and Gathering of Forest Products,170,808,28535
113200i,1132,i,Forest Nurseries and Gathering of Forest Products,3,156,13275
113210a,11321,a,Forest Nurseries and Gathering of Forest Products,173,964,41810
113210b,11321,b,Forest Nurseries and Gathering of Forest Products,135,183,7745
113210c,11321,c,Forest Nurseries and Gathering of Forest Products,20,138,4271
113210d,11321,d,Forest Nurseries and Gathering of Forest Products,8,102,4373
113210e,11321,e,Forest Nurseries and Gathering of Forest Products,163,423,16389
113210f,11321,f,Forest Nurseries and Gathering of Forest Products,5,278,9559
113210h,11321,h,Forest Nurseries and Gathering of Forest Products,170,808,28535
113210i,11321,i,Forest Nurseries and Gathering of Forest Products,3,156,13275
113300a,1133,a,Logging,7487,46103,2339585
113300b,1133,b,Logging,4561,8138,345632
113300c,1133,c,Logging,1647,10831,482411
113300d,1133,d,Logging,840,10917,530428
113300e,1133,e,Logging,7048,29886,1358471
113300f,1133,f,Logging,406,12898,714574
113300g,1133,g,Logging,18,1172,77859
113300h,1133,h,Logging,7472,43956,2150904
113300i,1133,i,Logging,15,2147,188681
113310a,11331,a,Logging,7487,46103,2339585
113310b,11331,b,Logging,4561,8138,345632
113310c,11331,c,Logging,1647,10831,482411
113310d,11331,d,Logging,840,10917,530428
113310e,11331,e,Logging,7048,29886,1358471
113310f,11331,f,Logging,406,12898,714574
113310g,11331,g,Logging,18,1172,77859
113310h,11331,h,Logging,7472,43956,2150904
113310i,11331,i,Logging,15,2147,188681
114000a,114,a,"Fishing, Hunting and Trapping",2912,7059,464522
114000b,114,b,"Fishing, Hunting and Trapping",2658,2138,144023
114000c,114,c,"Fishing, Hunting and Trapping",131,843,39230
114000d,114,d,"Fishing, Hunting and Trapping",56,736,33855
114000e,114,e,"Fishing, Hunting and Trapping",2845,3717,217108
114000f,114,f,"Fishing, Hunting and Trapping",52,1694,97897
