UNIQUE_ID,NAICS_CODE,FIRM_SIZE_ALPHA,DESCRIPTION,Firms,Employment,Payroll,Receipts
110000a,11,a,"Agriculture, Forestry, Fishing and Hunting",21351.0,161077.0,5909348.0,32565105.0
110000b,11,b,"Agriculture, Forestry, Fishing and Hunting",14849.0,22265.0,865306.0,6397464.0
110000c,11,c,"Agriculture, Forestry, Fishing and Hunting",3470.0,22573.0,796523.0,4524208.0
110000d,11,d,"Agriculture, Forestry, Fishing and Hunting",1634.0,21414.0,794272.0,4052913.0
110000e,11,e,"Agriculture, Forestry, Fishing and Hunting",19953.0,66252.0,2456101.0,14974585.0
110000f,11,f,"Agriculture, Forestry, Fishing and Hunting",1087.0,38955.0,1500656.0,7122552.0
110000g,11,g,"Agriculture, Forestry, Fishing and Hunting",220.0,31948.0,993734.0,5246667.0
110000h,11,h,"Agriculture, Forestry, Fishing and Hunting",21260.0,137155.0,4950491.0,27343804.0
110000i,11,i,"Agriculture, Forestry, Fishing and Hunting",91.0,23922.0,958857.0,5221301.0
113000a,113,a,Forestry and Logging,8591.0,53515.0,2120056.0,11587739.0
113000b,113,b,Forestry and Logging,5192.0,9244.0,307167.0,2350375.0
113000c,113,c,Forestry and Logging,1948.0,12735.0,441522.0,2428096.0
113000d,113,d,Forestry and Logging,953.0,12471.0,461982.0,2228429.0
113000e,113,e,Forestry and Logging,8093.0,34450.0,1210671.0,7006900.0
113000f,113,f,Forestry and Logging,447.0,14148.0,595415.0,2909505.0
113000g,113,g,Forestry and Logging,23.0,1573.0,62133.0,329715.0
113000h,113,h,Forestry and Logging,8563.0,50171.0,1868219.0,10246120.0
113000i,113,i,Forestry and Logging,28.0,3344.0,251837.0,1341619.0
113100a,1131,a,Timber Tract Operations,379.0,2129.0,110290.0,691520.0
113100b,1131,b,Timber Tract Operations,264.0,415.0,17182.0,161354.0
113100c,1131,c,Timber Tract Operations,57.0,334.0,13833.0,90725.0
113100d,1131,d,Timber Tract Operations,26.0,363.0,13240.0,78275.0
113100e,1131,e,Timber Tract Operations,347.0,1112.0,44255.0,330354.0
113100f,1131,f,Timber Tract Operations,15.0,477.0,27291.0,147789.0
113100g,1131,g,Timber Tract Operations,3.0,0.0,0.0,0.0
113100h,1131,h,Timber Tract Operations,365.0,1630.0,74191.0,492735.0
113100i,1131,i,Timber Tract Operations,14.0,499.0,36099.0,198785.0
113110a,11311,a,Timber Tract Operations,379.0,2129.0,110290.0,691520.0
113110b,11311,b,Timber Tract Operations,264.0,415.0,17182.0,161354.0
113110c,11311,c,Timber Tract Operations,57.0,334.0,13833.0,90725.0
113110d,11311,d,Timber Tract Operations,26.0,363.0,13240.0,78275.0
113110e,11311,e,Timber Tract Operations,347.0,1112.0,44255.0,330354.0
113110f,11311,f,Timber Tract Operations,15.0,477.0,27291.0,147789.0
113110g,11311,g,Timber Tract Operations,3.0,0.0,0.0,0.0
113110h,11311,h,Timber Tract Operations,365.0,1630.0,74191.0,492735.0
113110i,11311,i,Timber Tract Operations,14.0,499.0,36099.0,198785.0
113200a,1132,a,Forest Nurseries and Gathering of Forest Products,165.0,1658.0,53847.0,225861.0
113200b,1132,b,Forest Nurseries and Gathering of Forest Products,103.0,132.0,4558.0,30058.0
113200c,1132,c,Forest Nurseries and Gathering of Forest Products,31.0,195.0,8544.0,35333.0
113200d,1132,d,Forest Nurseries and Gathering of Forest Products,13.0,166.0,4384.0,18312.0
113200e,1132,e,Forest Nurseries and Gathering of Forest Products,147.0,493.0,17486.0,83703.0
113200f,1132,f,Forest Nurseries and Gathering of Forest Products,11.0,418.0,11992.0,39432.0
113200g,1132,g,Forest Nurseries and Gathering of Forest Products,4.0,526.0,7308.0,30813.0
113200h,1132,h,Forest Nurseries and Gathering of Forest Products,162.0,1437.0,36786.0,153948.0
113200i,1132,i,Forest Nurseries and Gathering of Forest Products,3.0,0.0,0.0,0.0
113210a,11321,a,Forest Nurseries and Gathering of Forest Products,165.0,1658.0,53847.0,225861.0
113210b,11321,b,Forest Nurseries and Gathering of Forest Products,103.0,132.0,4558.0,30058.0
113210c,11321,c,Forest Nurseries and Gathering of Forest Products,31.0,195.0,8544.0,35333.0
113210d,11321,d,Forest Nurseries and Gathering of Forest Products,13.0,166.0,4384.0,18312.0
113210e,11321,e,Forest Nurseries and Gathering of Forest Products,147.0,493.0,17486.0,83703.0
113210f,11321,f,Forest Nurseries and Gathering of Forest Products,11.0,418.0,11992.0,39432.0
113210g,11321,g,Forest Nurseries and Gathering of Forest Products,4.0,526.0,7308.0,30813.0
113210h,11321,h,Forest Nurseries and Gathering of Forest Products,162.0,1437.0,36786.0,153948.0
113210i,11321,i,Forest Nurseries and Gathering of Forest Products,3.0,0.0,0.0,0.0
113300a,1133,a,Logging,8054.0,49728.0,1955919.0,10670358.0
113300b,1133,b,Logging,4825.0,8697.0,285427.0,2158963.0
113300c,1133,c,Logging,1860.0,12206.0,419145.0,2302038.0
113300d,1133,d,Logging,914.0,11942.0,444358.0,2131842.0
113300e,1133,e,Logging,7599.0,32845.0,1148930.0,6592843.0
113300f,1133,f,Logging,421.0,13253.0,556132.0,2722284.0
113300g,1133,g,Logging,16.0,1006.0,52180.0,284310.0
113300h,1133,h,Logging,8036.0,47104.0,1757242.0,9599437.0
113300i,1133,i,Logging,18.0,2624.0,198677.0,1070921.0
113310a,11331,a,Logging,8054.0,49728.0,1955919.0,10670358.0
113310b,11331,b,Logging,4825.0,8697.0,285427.0,2158963.0
113310c,11331,c,Logging,1860.0,12206.0,419145.0,2302038.0
113310d,11331,d,Logging,914.0,11942.0,444358.0,2131842.0
113310e,11331,e,Logging,7599.0,32845.0,1148930.0,6592843.0
113310f,11331,f,Logging,421.0,13253.0,556132.0,2722284.0
113310g,11331,g,Logging,16.0,1006.0,52180.0,284310.0
113310h,11331,h,Logging,8036.0,47104.0,1757242.0,9599437.0
113310i,11331,i,Logging,18.0,2624.0,198677.0,1070921.0
114000a,114,a,"Fishing, Hunting and Trapping",2479.0,7767.0,390509.0,3123899.0
114000b,114,b,"Fishing, Hunting and Trapping",2225.0,1927.0,118278.0,1079444.0
114000c,114,c,"Fishing, Hunting and Trapping",152.0,1004.0,35490.0,220873.0
114000d,114,d,"Fishing, Hunting and Trapping",45.0,628.0,24811.0,160657.0
114000e,114,e,"Fishing, Hunting and Trapping",2422.0,3559.0,178579.0,1460974.0
114000f,114,f,"Fishing, Hunting and Trapping",40.0,1359.0,60955.0,437651.0
114000g,114,g,"Fishing, Hunting and Trapping",15.0,2206.0,118063.0,940268.0
114000h,114,h,"Fishing, Hunting and Trapping",2477.0,7124.0,357597.0,2838893.0
114000i,114,i,"Fishing, Hunting and Trapping",2.0,0.0,0.0,0.0
114100a,1141,a,Fishing,2177.0,6115.0,341208.0,2953873.0
114100b,1141,b,Fishing,2009.0,1656.0,110172.0,1034425.0
114100c,1141,c,Fishing,101.0,672.0,25768.0,186254.0
114100d,1141,d,Fishing,25.0,346.0,17758.0,135909.0
114100e,1141,e,Fishing,2135.0,2674.0,153698.0,1356588.0
114100f,1141,f,Fishing,29.0,1030.0,53030.0,413351.0
114100g,1141,g,Fishing,11.0,1768.0,101568.0,898928.0
114100h,1141,h,Fishing,2175.0,5472.0,308296.0,2668867.0
114100i,1141,i,Fishing,2.0,0.0,0.0,0.0
114110a,11411,a,Fishing,2177.0,6115.0,341208.0,2953873.0
114110b,11411,b,Fishing,2009.0,1656.0,110172.0,1034425.0
114110c,11411,c,Fishing,101.0,672.0,25768.0,186254.0
114110d,11411,d,Fishing,25.0,346.0,17758.0,135909.0
114110e,11411,e,Fishing,2135.0,2674.0,153698.0,1356588.0
114110f,11411,f,Fishing,29.0,1030.0,53030.0,413351.0
114110g,11411,g,Fishing,11.0,1768.0,101568.0,898928.0
114110h,11411,h,Fishing,2175.0,5472.0,308296.0,2668867.0
114110i,11411,i,Fishing,2.0,0.0,0.0,0.0
114111a,114111,a,Finfish Fishing,1224.0,3959.0,248205.0,2208472.0
114111b,114111,b,Finfish Fishing,1121.0,0.0,67910.0,639601.0
114111c,114111,c,Finfish Fishing,62.0,415.0,17337.0,137489.0
114111d,114111,d,Finfish Fishing,17.0,232.0,12101.0,95868.0
114111e,114111,e,Finfish Fishing,1200.0,1606.0,97348.0,872958.0
114111f,114111,f,Finfish Fishing,14.0,545.0,31344.0,272199.0
114111g,114111,g,Finfish Fishing,9.0,1403.0,95941.0,853583.0
114111h,114111,h,Finfish Fishing,1223.0,3554.0,224633.0,1998740.0
114111i,114111,i,Finfish Fishing,1.0,0.0,0.0,0.0
114112a,114112,a,Shellfish Fishing,911.0,2063.0,88794.0,712598.0
114112b,114112,b,Shellfish Fishing,851.0,662.0,41057.0,384273.0
114112c,114112,c,Shellfish Fishing,35.0,233.0,7042.0,39052.0
114112d,114112,d,Shellfish Fishing,8.0,0.0,5657.0,40041.0
114112e,114112,e,Shellfish Fishing,894.0,1009.0,53756.0,463366.0
114112f,114112,f,Shellfish Fishing,14.0,451.0,20071.0,128613.0
114112g,114112,g,Shellfish Fishing,2.0,0.0,0.0,0.0
114112h,114112,h,Shellfish Fishing,910.0,1825.0,79454.0,637324.0
114112i,114112,i,Shellfish Fishing,1.0,0.0,0.0,0.0
114119a,114119,a,Other Marine Fishing,42.0,93.0,4209.0,32803.0
114119b,114119,b,Other Marine Fishing,37.0,0.0,1205.0,10551.0
114119c,114119,c,Other Marine Fishing,4.0,0.0,0.0,0.0
114119e,114119,e,Other Marine Fishing,41.0,59.0,2594.0,20264.0
114119f,114119,f,Other Marine Fishing,1.0,0.0,0.0,0.0
114119h,114119,h,Other Marine Fishing,42.0,93.0,4209.0,32803.0
114200a,1142,a,Hunting and Trapping,302.0,1652.0,49301.0,170026.0
