UNIQUE_ID,NAICS_CODE,FIRM_SIZE_ALPHA,DESCRIPTION,Firms,Employment,Payroll
110000a,11,a,"Agriculture, Forestry, Fishing and Hunting",22135,164567,7608832
110000b,11,b,"Agriculture, Forestry, Fishing and Hunting",15578,22739,1077893
110000c,11,c,"Agriculture, Forestry, Fishing and Hunting",3386,22088,933043
110000d,11,d,"Agriculture, Forestry, Fishing and Hunting",1706,22425,1048319
110000e,11,e,"Agriculture, Forestry, Fishing and Hunting",20670,67252,3059255
110000f,11,f,"Agriculture, Forestry, Fishing and Hunting",1159,41847,2006840
110000g,11,g,"Agriculture, Forestry, Fishing and Hunting",207,28258,1217585
110000h,11,h,"Agriculture, Forestry, Fishing and Hunting",22036,137357,6283680
110000i,11,i,"Agriculture, Forestry, Fishing and Hunting",99,27210,1325152
113000a,113,a,Forestry and Logging,8252,51928,2579372
113000b,113,b,Forestry and Logging,5112,8943,382923
113000c,113,c,Forestry and Logging,1740,11466,483879
113000d,113,d,Forestry and Logging,909,11838,548027
113000e,113,e,Forestry and Logging,7761,32247,1414829
113000f,113,f,Forestry and Logging,440,13881,728998
113000g,113,g,Forestry and Logging,23,1556,84897
113000h,113,h,Forestry and Logging,8224,47684,2228724
113000i,113,i,Forestry and Logging,28,4244,350648
113100a,1131,a,Timber Tract Operations,452,3647,213302
113100b,1131,b,Timber Tract Operations,328,525,23895
113100c,1131,c,Timber Tract Operations,67,416,21341
113100d,1131,d,Timber Tract Operations,26,352,17329
113100e,1131,e,Timber Tract Operations,421,1293,62565
113100f,1131,f,Timber Tract Operations,15,428,21915
113100h,1131,h,Timber Tract Operations,438,1854,87262
113100i,1131,i,Timber Tract Operations,14,1793,126040
113110a,11311,a,Timber Tract Operations,452,3647,213302
113110b,11311,b,Timber Tract Operations,328,525,23895
113110c,11311,c,Timber Tract Operations,67,416,21341
113110d,11311,d,Timber Tract Operations,26,352,17329
113110e,11311,e,Timber Tract Operations,421,1293,62565
113110f,11311,f,Timber Tract Operations,15,428,21915
113110h,11311,h,Timber Tract Operations,438,1854,87262
113110i,11311,i,Timber Tract Operations,14,1793,126040
113200a,1132,a,Forest Nurseries and Gathering of Forest Products,154,1008,43253
113200b,1132,b,Forest Nurseries and Gathering of Forest Products,115,169,7182
113200c,1132,c,Forest Nurseries and Gathering of Forest Products,20,127,4824
113200d,1132,d,Forest Nurseries and Gathering of Forest Products,9,119,3112
113200e,1132,e,Forest Nurseries and Gathering of Forest Products,144,415,15118
113200f,1132,f,Forest Nurseries and Gathering of Forest Products,5,307,10675
