UNIQUE_ID,NAICS_CODE,FIRM_SIZE_ALPHA,DESCRIPTION,Firms,Employment,Payroll
110000a,11,a,"Agriculture, Forestry, Fishing and Hunting",22724,163996,7350109
110000b,11,b,"Agriculture, Forestry, Fishing and Hunting",16031,23080,1094385
110000c,11,c,"Agriculture, Forestry, Fishing and Hunting",3461,22611,951785
110000d,11,d,"Agriculture, Forestry, Fishing and Hunting",1780,23385,1019778
110000e,11,e,"Agriculture, Forestry, Fishing and Hunting",21272,69076,3065948
110000f,11,f,"Agriculture, Forestry, Fishing and Hunting",1151,41128,1916776
110000g,11,g,"Agriculture, Forestry, Fishing and Hunting",203,27801,1161735
110000h,11,h,"Agriculture, Forestry, Fishing and Hunting",22626,138005,6144459
110000i,11,i,"Agriculture, Forestry, Fishing and Hunting",98,25991,1205650
113000a,113,a,Forestry and Logging,8574,54024,2580588
113000b,113,b,Forestry and Logging,5279,9132,374837
113000c,113,c,Forestry and Logging,1839,12107,494348
113000d,113,d,Forestry and Logging,966,12708,561666
113000e,113,e,Forestry and Logging,8084,33947,1430851
113000f,113,f,Forestry and Logging,439,14022,706614
113000g,113,g,Forestry and Logging,22,1447,87808
113000h,113,h,Forestry and Logging,8545,49416,2225273
113000i,113,i,Forestry and Logging,29,4608,355315
113100a,1131,a,Timber Tract Operations,462,3681,198107
113100b,1131,b,Timber Tract Operations,334,515,22309
113100c,1131,c,Timber Tract Operations,64,404,19562
113100d,1131,d,Timber Tract Operations,30,384,20381
113100e,1131,e,Timber Tract Operations,428,1303,62252
113100f,1131,f,Timber Tract Operations,18,581,25665
113100h,1131,h,Timber Tract Operations,447,1897,88528
113100i,1131,i,Timber Tract Operations,15,1784,109579
113110a,11311,a,Timber Tract Operations,462,3681,198107
113110b,11311,b,Timber Tract Operations,334,515,22309
113110c,11311,c,Timber Tract Operations,64,404,19562
113110d,11311,d,Timber Tract Operations,30,384,20381
113110e,11311,e,Timber Tract Operations,428,1303,62252
113110f,11311,f,Timber Tract Operations,18,581,25665
113110h,11311,h,Timber Tract Operations,447,1897,88528
113110i,11311,i,Timber Tract Operations,15,1784,109579
113200a,1132,a,Forest Nurseries and Gathering of Forest Products,169,1139,47614
113200b,1132,b,Forest Nurseries and Gathering of Forest Products,128,200,9555
113200c,1132,c,Forest Nurseries and Gathering of Forest Products,18,121,4553
113200d,1132,d,Forest Nurseries and Gathering of Forest Products,11,145,4845
113200e,1132,e,Forest Nurseries and Gathering of Forest Products,157,466,18953
113200f,1132,f,Forest Nurseries and Gathering of Forest Products,7,371,10611
113200h,1132,h,Forest Nurseries and Gathering of Forest Products,166,956,32469
113200i,1132,i,Forest Nurseries and Gathering of Forest Products,3,183,15145
113210a,11321,a,Forest Nurseries and Gathering of Forest Products,169,1139,47614
113210b,11321,b,Forest Nurseries and Gathering of Forest Products,128,200,9555
113210c,11321,c,Forest Nurseries and Gathering of Forest Products,18,121,4553
113210d,11321,d,Forest Nurseries and Gathering of Forest Products,11,145,4845
113210e,11321,e,Forest Nurseries and Gathering of Forest Products,157,466,18953
