UNIQUE_ID,NAICS_CODE,FIRM_SIZE_ALPHA,DESCRIPTION,Firms,Employment,Payroll,Receipts
110000a,11,a,"Agriculture, Forestry, Fishing and Hunting",22641,164046,7013892,34742794
110000b,11,b,"Agriculture, Forestry, Fishing and Hunting",15955,23132,1068245,7412902
110000c,11,c,"Agriculture, Forestry, Fishing and Hunting",3571,23441,947807,5084929
110000d,11,d,"Agriculture, Forestry, Fishing and Hunting",1658,21870,957566,4535258
110000e,11,e,"Agriculture, Forestry, Fishing and Hunting",21184,68443,2973618,17033089
110000f,11,f,"Agriculture, Forestry, Fishing and Hunting",1153,41314,1823162,7577963
110000g,11,g,"Agriculture, Forestry, Fishing and Hunting",198,26834,1051899,4360433
110000h,11,h,"Agriculture, Forestry, Fishing and Hunting",22535,136591,5848679,28971485
110000i,11,i,"Agriculture, Forestry, Fishing and Hunting",106,27455,1165213,5771309
113000a,113,a,Forestry and Logging,8636,54097,2452570,12515334
113000b,113,b,Forestry and Logging,5337,9313,369924,2793454
113000c,113,c,Forestry and Logging,1874,12417,489903,2555567
113000d,113,d,Forestry and Logging,926,12263,529048,2417385
113000e,113,e,Forestry and Logging,8137,33993,1388875,7766406
113000f,113,f,Forestry and Logging,447,13943,664507,2759341
113000g,113,g,Forestry and Logging,23,1690,95763,411691
113000h,113,h,Forestry and Logging,8607,49626,2149145,10937438
113000i,113,i,Forestry and Logging,29,4471,303425,1577896
113100a,1131,a,Timber Tract Operations,478,3883,188565,1125533
113100b,1131,b,Timber Tract Operations,339,514,20843,210893
113100c,1131,c,Timber Tract Operations,69,419,19710,142395
113100d,1131,d,Timber Tract Operations,34,459,20796,113014
113100e,1131,e,Timber Tract Operations,442,1392,61349,466302
113100f,1131,f,Timber Tract Operations,19,541,23018,105300
113100h,1131,h,Timber Tract Operations,463,2029,90394,603653
113100i,1131,i,Timber Tract Operations,15,1854,98171,521880
113110a,11311,a,Timber Tract Operations,478,3883,188565,1125533
113110b,11311,b,Timber Tract Operations,339,514,20843,210893
113110c,11311,c,Timber Tract Operations,69,419,19710,142395
113110d,11311,d,Timber Tract Operations,34,459,20796,113014
113110e,11311,e,Timber Tract Operations,442,1392,61349,466302
113110f,11311,f,Timber Tract Operations,19,541,23018,105300
113110h,11311,h,Timber Tract Operations,463,2029,90394,603653
113110i,11311,i,Timber Tract Operations,15,1854,98171,521880
113200a,1132,a,Forest Nurseries and Gathering of Forest Products,171,1133,46340,190700
113200b,1132,b,Forest Nurseries and Gathering of Forest Products,120,155,6217,37879
113200c,1132,c,Forest Nurseries and Gathering of Forest Products,29,192,6767,29129
113200d,1132,d,Forest Nurseries and Gathering of Forest Products,11,135,4606,18338
113200e,1132,e,Forest Nurseries and Gathering of Forest Products,160,482,17590,85346
113200f,1132,f,Forest Nurseries and Gathering of Forest Products,6,320,9544,34710
113200h,1132,h,Forest Nurseries and Gathering of Forest Products,168,929,30342,124474
113200i,1132,i,Forest Nurseries and Gathering of Forest Products,3,204,15998,66226
113210a,11321,a,Forest Nurseries and Gathering of Forest Products,171,1133,46340,190700
113210b,11321,b,Forest Nurseries and Gathering of Forest Products,120,155,6217,37879
113210c,11321,c,Forest Nurseries and Gathering of Forest Products,29,192,6767,29129
113210d,11321,d,Forest Nurseries and Gathering of Forest Products,11,135,4606,18338
113210e,11321,e,Forest Nurseries and Gathering of Forest Products,160,482,17590,85346
113210f,11321,f,Forest Nurseries and Gathering of Forest Products,6,320,9544,34710
113210h,11321,h,Forest Nurseries and Gathering of Forest Products,168,929,30342,124474
113210i,11321,i,Forest Nurseries and Gathering of Forest Products,3,204,15998,66226
113300a,1133,a,Logging,7992,49081,2217665,11199101
113300b,1133,b,Logging,4878,8644,342864,2544682
113300c,1133,c,Logging,1776,11806,463426,2384043
113300d,1133,d,Logging,881,11669,503646,2286033
113300e,1133,e,Logging,7535,32119,1309936,7214758
113300f,1133,f,Logging,422,13082,631945,2619331
113300g,1133,g,Logging,20,1467,86528,375222
113300h,1133,h,Logging,7977,46668,2028409,10209311
113300i,1133,i,Logging,15,2413,189256,989790
113310a,11331,a,Logging,7992,49081,2217665,11199101
113310b,11331,b,Logging,4878,8644,342864,2544682
113310c,11331,c,Logging,1776,11806,463426,2384043
113310d,11331,d,Logging,881,11669,503646,2286033
113310e,11331,e,Logging,7535,32119,1309936,7214758
113310f,11331,f,Logging,422,13082,631945,2619331
113310g,11331,g,Logging,20,1467,86528,375222
113310h,11331,h,Logging,7977,46668,2028409,10209311
113310i,11331,i,Logging,15,2413,189256,989790
114000a,114,a,"Fishing, Hunting and Trapping",2899,7200,455237,2847562
114000b,114,b,"Fishing, Hunting and Trapping",2650,2291,138928,1145085
114000c,114,c,"Fishing, Hunting and Trapping",137,908,37819,240313
114000d,114,d,"Fishing, Hunting and Trapping",48,653,39194,153822
114000e,114,e,"Fishing, Hunting and Trapping",2835,3852,215941,1539220
114000f,114,f,"Fishing, Hunting and Trapping",49,1741,115724,560807
114000g,114,g,"Fishing, Hunting and Trapping",11,1383,107139,624069
114000h,114,h,"Fishing, Hunting and Trapping",2895,6976,438804,2724096
114000i,114,i,"Fishing, Hunting and Trapping",4,0,0,0
114100a,1141,a,Fishing,2528,5467,393804,2602752
114100b,1141,b,Fishing,2371,1904,125245,1070900
114100c,1141,c,Fishing,82,534,24813,165361
114100d,1141,d,Fishing,31,427,30190,124299
114100e,1141,e,Fishing,2484,2865,180248,1360560
114100f,1141,f,Fishing,32,1236,97703,499626
114100g,1141,g,Fishing,9,1150,99755,620449
114100h,1141,h,Fishing,2525,5251,377706,2480635
114100i,1141,i,Fishing,3,0,0,0
114110a,11411,a,Fishing,2528,5467,393804,2602752
114110b,11411,b,Fishing,2371,1904,125245,1070900
114110c,11411,c,Fishing,82,534,24813,165361
114110d,11411,d,Fishing,31,427,30190,124299
114110e,11411,e,Fishing,2484,2865,180248,1360560
114110f,11411,f,Fishing,32,1236,97703,499626
114110g,11411,g,Fishing,9,1150,99755,620449
114110h,11411,h,Fishing,2525,5251,377706,2480635
114110i,11411,i,Fishing,3,0,0,0
114111a,114111,a,Finfish Fishing,1194,3323,262170,1735066
114111b,114111,b,Finfish Fishing,1093,978,67460,543519
114111c,114111,c,Finfish Fishing,53,343,17007,111243
114111d,114111,d,Finfish Fishing,22,286,22142,90078
114111e,114111,e,Finfish Fishing,1168,1607,106609,744840
114111f,114111,f,Finfish Fishing,16,530,45079,293011
114111g,114111,g,Finfish Fishing,8,972,94438,575549
114111h,114111,h,Finfish Fishing,1192,3109,246126,1613400
114112a,114112,a,Shellfish Fishing,1226,1772,99666,749440
114112b,114112,b,Shellfish Fishing,1180,827,53552,494067
114112c,114112,c,Shellfish Fishing,25,169,5990,41199
114112d,114112,d,Shellfish Fishing,7,109,6067,25769
114112e,114112,e,Shellfish Fishing,1212,1105,65609,561035
114112f,114112,f,Shellfish Fishing,12,487,28686,143054
114112h,114112,h,Shellfish Fishing,1225,1770,99612,748989
114119a,114119,a,Other Marine Fishing,108,372,31968,118246
114119b,114119,b,Other Marine Fishing,98,99,4233,33314
114119c,114119,c,Other Marine Fishing,4,0,0,0
114119e,114119,e,Other Marine Fishing,104,153,8030,54685
114119f,114119,f,Other Marine Fishing,4,219,23938,63561
114119h,114119,h,Other Marine Fishing,108,372,31968,118246
114200a,1142,a,Hunting and Trapping,371,1733,61433,244810
114200b,1142,b,Hunting and Trapping,279,387,13683,74185
114200c,1142,c,Hunting and Trapping,55,374,13006,74952
114200d,1142,d,Hunting and Trapping,17,226,9004,29523
114200e,1142,e,Hunting and Trapping,351,987,35693,178660
114200f,1142,f,Hunting and Trapping,17,505,18021,61181
114200h,1142,h,Hunting and Trapping,370,1725,61098,243461
114210a,11421,a,Hunting and Trapping,371,1733,61433,244810
114210b,11421,b,Hunting and Trapping,279,387,13683,74185
114210c,11421,c,Hunting and Trapping,55,374,13006,74952
114210d,11421,d,Hunting and Trapping,17,226,9004,29523
114210e,11421,e,Hunting and Trapping,351,987,35693,178660
114210f,11421,f,Hunting and Trapping,17,505,18021,61181
114210h,11421,h,Hunting and Trapping,370,1725,61098,243461
115000a,115,a,Support Activities for Agriculture and Forestry,11111,102749,4106085,19379898
115000b,115,b,Support Activities for Agriculture and Forestry,7968,11528,559393,3474363
115000c,115,c,Support Activities for Agriculture and Forestry,1560,10116,420085,2289049
115000d,115,d,Support Activities for Agriculture and Forestry,684,8954,389324,1964051
115000e,115,e,Support Activities for Agriculture and Forestry,10212,30598,1368802,7727463
115000f,115,f,Support Activities for Agriculture and Forestry,658,25630,1042931,4257815
115000g,115,g,Support Activities for Agriculture and Forestry,167,23761,848997,3324673
115000h,115,h,Support Activities for Agriculture and Forestry,11037,79989,3260730,15309951
115000i,115,i,Support Activities for Agriculture and Forestry,74,22760,845355,4069947
115100a,1151,a,Support Activities for Crop Production,4758,69681,2784170,14635901
115100b,1151,b,Support Activities for Crop Production,3022,4254,287273,2095746
115100c,1151,c,Support Activities for Crop Production,747,4842,241191,1645238
115100d,1151,d,Support Activities for Crop Production,379,4909,241528,1496309
115100e,1151,e,Support Activities for Crop Production,4148,14005,769992,5237293
115100f,1151,f,Support Activities for Crop Production,430,17102,695542,3287405
115100g,1151,g,Support Activities for Crop Production,128,17906,593460,2519820
115100h,1151,h,Support Activities for Crop Production,4706,49013,2058994,11044518
115100i,1151,i,Support Activities for Crop Production,52,20668,725176,3591383
115110a,11511,a,Support Activities for Crop Production,4758,69681,2784170,14635901
115110b,11511,b,Support Activities for Crop Production,3022,4254,287273,2095746
115110c,11511,c,Support Activities for Crop Production,747,4842,241191,1645238
115110d,11511,d,Support Activities for Crop Production,379,4909,241528,1496309
115110e,11511,e,Support Activities for Crop Production,4148,14005,769992,5237293
115110f,11511,f,Support Activities for Crop Production,430,17102,695542,3287405
115110g,11511,g,Support Activities for Crop Production,128,17906,593460,2519820
115110h,11511,h,Support Activities for Crop Production,4706,49013,2058994,11044518
115110i,11511,i,Support Activities for Crop Production,52,20668,725176,3591383
115111a,115111,a,Cotton Ginning,210,2438,112359,986048
115111b,115111,b,Cotton Ginning,69,158,13959,108051
115111c,115111,c,Cotton Ginning,62,421,28450,217470
115111d,115111,d,Cotton Ginning,37,483,28657,330304
115111e,115111,e,Cotton Ginning,168,1062,71066,655825
115111f,115111,f,Cotton Ginning,34,949,36499,288003
115111g,115111,g,Cotton Ginning,3,155,738,6496
115111h,115111,h,Cotton Ginning,205,2166,108303,950324
115111i,115111,i,Cotton Ginning,5,272,4056,35724
115112a,115112,a,"Soil Preparation, Planting, and Cultivating",2240,10895,561297,3206813
115112b,115112,b,"Soil Preparation, Planting, and Cultivating",1623,2281,123380,929169
115112c,115112,c,"Soil Preparation, Planting, and Cultivating",355,2259,108713,658159
115112d,115112,d,"Soil Preparation, Planting, and Cultivating",138,1768,89860,522151
115112e,115112,e,"Soil Preparation, Planting, and Cultivating",2116,6308,321953,2109479
115112f,115112,f,"Soil Preparation, Planting, and Cultivating",99,3080,157359,664581
115112g,115112,g,"Soil Preparation, Planting, and Cultivating",17,1217,56543,287061
115112h,115112,h,"Soil Preparation, Planting, and Cultivating",2232,10605,535855,3061121
115112i,115112,i,"Soil Preparation, Planting, and Cultivating",8,290,25442,145692
115113a,115113,a,"Crop Harvesting, Primarily by Machine",352,3051,125337,726965
115113b,115113,b,"Crop Harvesting, Primarily by Machine",242,280,14871,115219
115113c,115113,c,"Crop Harvesting, Primarily by Machine",59,400,20960,127604
115113d,115113,d,"Crop Harvesting, Primarily by Machine",24,327,13177,90741
115113e,115113,e,"Crop Harvesting, Primarily by Machine",325,1007,49008,333564
115113f,115113,f,"Crop Harvesting, Primarily by Machine",20,885,42123,187930
115113g,115113,g,"Crop Harvesting, Primarily by Machine",4,111,5817,40364
115113h,115113,h,"Crop Harvesting, Primarily by Machine",349,2003,96948,561858
115113i,115113,i,"Crop Harvesting, Primarily by Machine",3,0,0,0
115114a,115114,a,Postharvest Crop Activities (except Cotton Ginning),859,34513,1333292,7131734
115114b,115114,b,Postharvest Crop Activities (except Cotton Ginning),351,531,36833,356102
115114c,115114,c,Postharvest Crop Activities (except Cotton Ginning),134,888,43398,354653
115114d,115114,d,Postharvest Crop Activities (except Cotton Ginning),97,1233,63998,356714
115114e,115114,e,Postharvest Crop Activities (except Cotton Ginning),582,2652,144229,1067469
115114f,115114,f,Postharvest Crop Activities (except Cotton Ginning),173,7693,298108,1595805
115114g,115114,g,Postharvest Crop Activities (except Cotton Ginning),68,10056,341658,1594799
115114h,115114,h,Postharvest Crop Activities (except Cotton Ginning),823,20401,783995,4258073
115114i,115114,i,Postharvest Crop Activities (except Cotton Ginning),36,14112,549297,2873661
115115a,115115,a,Farm Labor Contractors and Crew Leaders,515,13234,387927,1449694
115115b,115115,b,Farm Labor Contractors and Crew Leaders,299,352,61605,385890
115115c,115115,c,Farm Labor Contractors and Crew Leaders,76,485,20255,182594
115115d,115115,d,Farm Labor Contractors and Crew Leaders,42,566,18926,88410
115115e,115115,e,Farm Labor Contractors and Crew Leaders,417,1403,100786,656894
115115f,115115,f,Farm Labor Contractors and Crew Leaders,68,3157,95331,284421
115115g,115115,g,Farm Labor Contractors and Crew Leaders,25,4955,111964,278117
115115h,115115,h,Farm Labor Contractors and Crew Leaders,510,9515,308081,1219432
115115i,115115,i,Farm Labor Contractors and Crew Leaders,5,3719,79846,230262
115116a,115116,a,Farm Management Services,597,5550,263958,1134647
